nom_ville,email,departement,twitter_handle
MUEL,mairie-de-muel@wanadoo.fr,Ille-et-vilaine-2,
NOUVOITOU,commune.nouvoitou@wanadoo.fr,Ille-et-vilaine-2,
NOYAL CHATILLON SUR SEICHE,mairie@ville-noyal-chatillon.fr,Ille-et-vilaine-2,
NOYAL SOUS BAZOUGES,mairie.noyal@wanadoo.fr,Ille-et-vilaine-2,
NOYAL SUR VILAINE,mairie@ville-noyalsurvilaine.fr,Ille-et-vilaine-2,
ORGERES,mairie.orgeres@wanadoo.fr,Ille-et-vilaine-2,
OSSE,mairie.osse@wanadoo.fr,Ille-et-vilaine-2,
PACE,mairie@ville-pace.fr,Ille-et-vilaine-2,
PAIMPONT,mairie.paimpont@wanadoo.fr,Ille-et-vilaine-2,
PANCE,mairiedepance@wanadoo.fr,Ille-et-vilaine-2,
